message,error_bit,codeword,received,decoded,pass
0011001,7,00001100010100,00001110010100,0011001,1
0011001,8,00001100010100,00001000010100,0011001,1
0011001,9,00001100010100,00000100010100,0011001,1
0011001,10,00001100010100,00011100010100,0011001,1
0011001,11,00001100010100,00101100010100,0011001,1
0011001,12,00001100010100,01001100010100,0011001,1
0011001,13,00001100010100,10001100010100,0011001,1
0011010,-1,00001100011000,00001100011000,0011010,1
0011010,0,00001100011000,00001100011001,0011010,1
0011010,1,00001100011000,00001100011010,0011010,1
0011010,2,00001100011000,00001100011100,0011010,1
0011010,3,00001100011000,00001100010000,0011010,1
0011010,4,00001100011000,00001100001000,0011010,1
0011010,5,00001100011000,00001100111000,0011010,1
0011010,6,00001100011000,00001101011000,0011010,1
0011010,7,00001100011000,00001110011000,0011010,1
0011010,8,00001100011000,00001000011000,0011010,1
0011010,9,00001100011000,00000100011000,0011010,1
0011010,10,00001100011000,00011100011000,0011010,1
0011010,11,00001100011000,00101100011000,0011010,1
0011010,12,00001100011000,01001100011000,0011010,1
0011010,13,00001100011000,10001100011000,0011010,1
0011011,-1,00001100011011,00001100011011,0011011,1
0011011,0,00001100011011,00001100011010,0011010,0
0011011,1,00001100011011,00001100011001,0011010,0
0011011,2,00001100011011,00001100011111,0011000,0
0011011,3,00001100011011,00001100010011,0011000,0
0011011,4,00001100011011,00001100001011,0011011,1
0011011,5,00001100011011,00001100111011,0011011,1
0011011,6,00001100011011,00001101011011,0011011,1
0011011,7,00001100011011,00001110011011,0011011,1
0011011,8,00001100011011,00001000011011,0011011,1
0011011,9,00001100011011,00000100011011,0011011,1
0011011,10,00001100011011,00011100011011,0011011,1
0011011,11,00001100011011,00101100011011,0011011,1
0011011,12,00001100011011,01001100011011,0011011,1
0011011,13,00001100011011,10001100011011,0011011,1
0011100,-1,00001100101001,00001100101001,0011100,1
0011100,0,00001100101001,00001100101000,0011100,1
0011100,1,00001100101001,00001100101011,0011100,1
0011100,2,00001100101001,00001100101101,0011100,1
0011100,3,00001100101001,00001100100001,0011100,1
0011100,4,00001100101001,00001100111001,0011100,1
0011100,5,00001100101001,00001100001001,0011100,1
0011100,6,00001100101001,00001101101001,0011100,1
0011100,7,00001100101001,00001110101001,0011100,1
0011100,8,00001100101001,00001000101001,0011100,1
0011100,9,00001100101001,00000100101001,0011100,1
0011100,10,00001100101001,00011100101001,0011100,1
0011100,11,00001100101001,00101100101001,0011100,1
0011100,12,00001100101001,01001100101001,0011100,1
0011100,13,00001100101001,10001100101001,0011100,1
0011101,-1,00001100101010,00001100101010,0011101,1
0011101,0,00001100101010,00001100101011,0011100,0
0011101,1,00001100101010,00001100101000,0011100,0
0011101,2,00001100101010,00001100101110,0011110,0
0011101,3,00001100101010,00001100100010,0011110,0
0011101,4,00001100101010,00001100111010,0011101,1
0011101,5,00001100101010,00001100001010,0011101,1
0011101,6,00001100101010,00001101101010,0011101,1
0011101,7,00001100101010,00001110101010,0011101,1
0011101,8,00001100101010,00001000101010,0011101,1
0011101,9,00001100101010,00000100101010,0011101,1
0011101,10,00001100101010,00011100101010,0011101,1
0011101,11,00001100101010,00101100101010,0011101,1
0011101,12,00001100101010,01001100101010,0011101,1
0011101,13,00001100101010,10001100101010,0011101,1
0011110,-1,00001100100110,00001100100110,0011110,1
