msg_bits,message,received,decoded,pass
40,0010011001001111010001000100001010111101,00001110100000010100111000001001101000101111111011111110110011110100011110011010001011,0010011001001111010001000100001010111101,1
40,0000110011100110100111011111001110110100,00000000110001010000101001000001100010000010111011100101100100001010101101100010110000,0000110011100110100111011111001110110100,1
40,0101011011111010101010101010100011100111,00011101000111011011100101101000010001000100010001000100010010111100101001000010100111,0101011011111010101010101010100011100111,1
40,1011110111101000110101001011101000010110,11110111100110101110011010001011110001100001001000110111101010001011000111011101011100,1011110111101000110101001011101000010110,1
40,0110011000110000011010100111110010000000,00110001010000010111110001011100001100011000010010000010011110010011101100000000000000,0110011000110000011010100111110010000000,1
40,1010100110110010001001111011110100001101,11110100010010000001101101010011101111111000101001101011100110100010110011000110001011,1010100110110010001001111011110100001101,1
40,1010101000010111110100011000111001111000,11110100010001001011001111011110010110100010111100010111110010100101001001100111000000,1010101000010111110100011000111001111000,1
40,1011110011011110001101011110110111100100,11110111100110010000011011100110011111000110000111100110100101101110011001001110110000,1011110011011110001101011110110111100100,1
40,0110001101011010100101001001111110111101,00110001011111000110000111011000010010001111001000111000001001010110101110011010001011,0110001101011010100101001001111110111101,1
40,0110000110100110111110010000100100110110,00110001011100110001100010000001101110010110010011101100111110001110000001111101011100,0110000110100110111110010000100100110110,1
40,0000001001111101101110011010111001111110,00000000000011111000001001011010110110111010010000011100011110100100001001010110011100,0000001001111101101110011010111001111110,1
40,0111001001110101100010100101011010111100,00110010100100111100001010100001110101111111010010001101000111011000011110011001110000,0111001001110101100010100101011010111100,1
40,1101000010000101000000110100111101000100,11000110001011001111101100111101001011000000110001100010000010010010001011111110110000,1101000010000101000000110100111101000100,1
40,1001100001100001110100100010001100110001,11111000000101110011000101110111001010100010001110111111101111000101000001011111111011,1001100001100001110100100010001100110001,1
40,1010111100001111100000011101111101100101,11010100011110011001110011001001011001110000001100101010111001011010110101001101001011,1010111100001111100000011101111101100101,1
40,1101101010000100010001100000101110001010,11000110010110000100101100111110111111101111000101110000111101111010011111110100101100,1101101010000100010001100000101110001010,1
40,0111100000010100000110011011011101111010,00110010011001110000001111010010110000110011010000011011011011101010111001101000101100,0111100000010100000110011011011101111010,1
40,1100100111011101110100110011111111000111,11000101001110000010101011101010111010100011000001010000100101010101100111110010100111,1100100111011101110100110011111111000111,1
40,0011101000000000011110110101101001111111,00001100101010001011000000000000001100100110101101100001010110001000001001010101100111,0011101000000000011110110101101001111111,1
40,1011010111111110101010010001111001101000,11110111011000011110010101010110100001000100100011101111001001100100010110001011000000,1011010111111110101010010001111001101000,1
40,1111010100101011010100000000100000100001,11001001101000010010001101000111011000010010110001000000111110110000111110110011111011,1111010100101011010100000000100000100001,1
40,0000101100011000000010010010001010101001,00000000111101111101111100010111000000001111100011100011101111110100010001001000111011,0000101100011000000010010010001010101001,1
40,0100111011011101100001110000111001101001,00111110000010111011011011101010110101110011001010011100110010100100000110001000111011,0100111011011101100001110000111001101001,1
40,0001011011011101001110100110101011011000,00000011110111011011011011101010001000001010100010000001110001000111011011010111000000,0001011011011101001110100110101011011000,1
40,0010101011011001100001101101011011110001,00001111010001000111011011010100000101110011000110110110000111001011100110011111111011,0010101011011001100001101101011011110001,1
